unique_id,exp_id,batch_size,lr,epochs,optimizer,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,n_samples,rate,tot_samples
3916_vit_b_32,3916,128,0.03,10,SGD,vit_b_32,871.8145185190369,141137.79883139915,0.728,0.8524,0.7367747254264593,0.8529326407171847,0.727438652398318,0.8523596252275815,0.9972525243769358,0.9985090904339547,0.8587,0.3891057211565974,0.618775441219225,0.0,0.0,42000,07,420000
3917_vit_b_32,3917,128,0.03,10,SGD,vit_b_32,879.7966387789929,142021.52449883785,0.7142666666666667,0.856,0.7317267137445633,0.8559250107499616,0.7160897867473941,0.8564210731718812,0.9971138033554507,0.9985454538608898,0.8602,0.3731826990790537,0.6265628849414473,0.0,0.0,42000,07,420000
3918_vit_b_32,3918,128,0.03,10,SGD,vit_b_32,877.3322072839946,141930.85096306438,0.7114,0.8570666666666666,0.7261769347588337,0.8564100591910961,0.7104160655414594,0.8562109081286343,0.9970848471546598,0.9985562282974336,0.861,0.3659326845519582,0.6275518956070254,0.0,0.0,42000,07,420000
3919_vit_b_32,3919,128,0.03,10,SGD,vit_b_32,890.5677022699965,143257.4979781903,0.7216666666666667,0.8539333333333333,0.7304480031886308,0.8541586594105071,0.7230361666666616,0.8541464156813112,0.9971885511029344,0.9985245785548572,0.8601,0.3800697080839795,0.6220905396139086,0.0,0.0,42000,07,420000
2001_vit_b_32,2001,128,0.03,10,SGD,vit_b_32,2528.1926074950024,320887.38775906584,0.6402,0.866,0.667974993818804,0.8644497833585908,0.6387066401267618,0.8644426863220543,0.9963656537925476,0.998646463613678,0.8599,0.2721423019282606,0.6462575569600165,0.0,0.0,48000,08,480000
2002_vit_b_32,2002,128,0.03,10,SGD,vit_b_32,2541.8128033060348,323416.05180422403,0.6618,0.8655,0.6789276094850042,0.8656228746173649,0.6637420865077768,0.865722912105451,0.9965838354136828,0.998641412960202,0.856,0.2972100069569683,0.6477154855268221,0.0,0.0,48000,08,480000
2003_vit_b_32,2003,128,0.03,10,SGD,vit_b_32,2539.2511471599573,321319.80768309045,0.6527,0.8639,0.6652297234444375,0.8629309323802231,0.6530072406675016,0.8636776067536104,0.9964919159738084,0.9986252512641386,0.8574,0.2825381097371293,0.6429744472426702,0.0,0.0,48000,08,480000
2004_vit_b_32,2004,128,0.03,10,SGD,vit_b_32,2530.1219474009704,322665.6806049614,0.6518,0.8578,0.6795607822471103,0.8588308894677632,0.6549262160759974,0.8580234905829459,0.996482825643184,0.9985636352856428,0.8564,0.2890712210534055,0.631202372217227,0.0,0.0,48000,08,480000
2005_vit_b_32,2005,128,0.03,10,SGD,vit_b_32,2539.431720810011,325295.4371560085,0.6326,0.8632,0.663222370818268,0.8632964073982617,0.6359185293981333,0.8635827556082124,0.996288885050707,0.9986181803890491,0.8621,0.2658123280886957,0.6426504192565531,0.0,0.0,48000,08,480000
2006_vit_b_32,2006,128,0.03,10,SGD,vit_b_32,2551.300434932928,323600.48912271817,0.6731,0.859,0.6864444515783664,0.8597256084637772,0.6740008019620377,0.8588784339929973,0.9966979777785532,0.9985757567047294,0.8601,0.3103908998624552,0.633382037931092,0.0,0.0,48000,08,480000
2007_vit_b_32,2007,128,0.03,10,SGD,vit_b_32,2546.5769042260945,325599.7234180979,0.6407,0.8611,0.6686827827124282,0.8604512077135728,0.642435476711666,0.8611626928218813,0.9963707045667644,0.998596968728983,0.8595,0.2742365461523373,0.637169953933189,0.0,0.0,48000,08,480000
2008_vit_b_32,2008,128,0.03,10,SGD,vit_b_32,2542.6076699959813,318623.29285627906,0.6491,0.8594,0.6653778757459411,0.8580044613651566,0.6452943812299777,0.8576654208625704,0.9964555527256472,0.9985797968458991,0.8592,0.2777127253972241,0.631517763871524,0.0,0.0,48000,08,480000
2009_vit_b_32,2009,128,0.03,10,SGD,vit_b_32,2537.370563410106,323155.5060226259,0.6467,0.8643,0.6744264268591053,0.8646933053331114,0.6481698530055264,0.8646541686749568,0.9964313105465112,0.9986292919364892,0.8607,0.2816914296007607,0.6453173621912985,0.0,0.0,48000,08,480000
2011_vit_b_32,2011,128,0.035,10,SGD,vit_b_32,2526.29286248202,319000.8797567165,0.6435,0.8654,0.6685053759872294,0.8639662656602151,0.6419012222820808,0.8638706400403803,0.9963989871513153,0.9986404030029932,0.8619,0.2751407618060393,0.6450175378073097,0.0,0.0,48000,08,480000
2012_vit_b_32,2012,128,0.035,10,SGD,vit_b_32,2562.1847165599465,324885.48707398574,0.6709,0.866,0.6942815684684159,0.8664733523824854,0.6724872154326664,0.866190727878664,0.9966757546855208,0.9986464634696438,0.8575,0.3121988894739725,0.6490802605498511,0.0,0.0,48000,08,480000
2013_vit_b_32,2013,128,0.035,10,SGD,vit_b_32,2547.006213780958,319746.2607330739,0.6629,0.8652,0.6766247107735184,0.8639049681303024,0.6629784642684717,0.8648549331468012,0.9965949463713528,0.9986383825893156,0.8603,0.2963561712871795,0.645556121087189,0.0,0.0,48000,08,480000
2014_vit_b_32,2014,128,0.035,10,SGD,vit_b_32,2555.9407432179432,323805.0791710493,0.6519,0.8588,0.6798609596160506,0.8595884255018953,0.6547884774391872,0.8589809914848553,0.996483835744952,0.9985737363033244,0.8568,0.289182741514597,0.6332078460517357,0.0,0.0,48000,08,480000
2015_vit_b_32,2015,128,0.035,10,SGD,vit_b_32,2533.438789554988,321997.49872141285,0.6464,0.8655,0.677876443064196,0.8653274813533876,0.6496787016599491,0.8661141232974368,0.996428279134268,0.9986414127363094,0.8611,0.2836589976020945,0.6477870488957007,0.0,0.0,48000,08,480000
2016_vit_b_32,2016,128,0.035,10,SGD,vit_b_32,2532.4401104659773,322486.4253053477,0.6825,0.8603,0.6983289347745996,0.8607092761500277,0.6835968608281858,0.8601983377416738,0.9967929273315712,0.9985888880258914,0.8604,0.3247638643039032,0.6360506993470316,0.0,0.0,48000,08,480000
2017_vit_b_32,2017,128,0.035,10,SGD,vit_b_32,2538.662573425914,322067.8878699424,0.6561,0.8648,0.6845246711248797,0.8645054093302784,0.6572647563415985,0.8649289462320701,0.996526260229642,0.998634342492142,0.8602,0.2941631286459805,0.6457587876015188,0.0,0.0,48000,08,480000
2018_vit_b_32,2018,128,0.035,10,SGD,vit_b_32,2551.5164309439715,322303.6652373115,0.6378,0.8604,0.6607455342862016,0.8588261054005616,0.6342141599175914,0.8586209977033207,0.9963414112203745,0.9985898978640648,0.8596,0.2662949110510659,0.6335695727086733,0.0,0.0,48000,08,480000
2019_vit_b_32,2019,128,0.035,10,SGD,vit_b_32,2529.1504477909766,322358.69951971306,0.6477,0.8646,0.6750893361594404,0.865054937660557,0.6497970471084616,0.8645567422374911,0.9964414115639282,0.998632322241714,0.863,0.2831161518056286,0.6457405230058676,0.0,0.0,48000,08,480000
2021_vit_b_32,2021,128,0.04,10,SGD,vit_b_32,2535.228120952961,322544.27899676806,0.6626,0.8678,0.687354900950901,0.8664580790214955,0.6613454958229933,0.8661748255457167,0.9965919165914552,0.9986646454457332,0.8607,0.3001775616454388,0.6504178236854982,0.0,0.0,48000,08,480000
2022_vit_b_32,2022,128,0.04,10,SGD,vit_b_32,2552.167818643968,319983.0763881485,0.6658,0.8649,0.687376263186332,0.864877590800852,0.6680921693735787,0.8650312609117243,0.996624239489216,0.9986353523488722,0.8584,0.304723640939842,0.6461885828978355,0.0,0.0,48000,08,480000
2023_vit_b_32,2023,128,0.04,10,SGD,vit_b_32,2528.920557445963,320427.18310687307,0.6495,0.8662,0.6638392574012437,0.8650898291118421,0.6498042821149242,0.8657612239077372,0.9964595927118336,0.9986484836086827,0.8599,0.2791800292448761,0.6478734202175891,0.0,0.0,48000,08,480000
2024_vit_b_32,2024,128,0.04,10,SGD,vit_b_32,2544.9558514020173,322040.2017179038,0.668,0.8585,0.6943493996427875,0.8591609803840692,0.6697982165785777,0.8589181367407785,0.9966464621296298,0.99857070599802,0.8586,0.3096275833461829,0.6326236727828105,0.0,0.0,48000,08,480000
2025_vit_b_32,2025,128,0.04,10,SGD,vit_b_32,2549.7490009280154,325408.92753524147,0.6645,0.8666,0.6862644901824894,0.867249641320744,0.6676125967089195,0.8672352216177209,0.9966111076061848,0.998652523858912,0.8633,0.3034147982275259,0.6508997809213688,0.0,0.0,48000,08,480000
2026_vit_b_32,2026,128,0.04,10,SGD,vit_b_32,2543.730599707924,321021.4672476835,0.6776,0.8621,0.6932016683397041,0.8625050011755084,0.6787794771722399,0.8618227951877969,0.9967434323518068,0.9986070698551928,0.859,0.3177935528397537,0.639929130694968,0.0,0.0,48000,08,480000
2027_vit_b_32,2027,128,0.04,10,SGD,vit_b_32,2532.579820955056,322033.8011239728,0.6514,0.8636,0.6777582945014439,0.8630598967860372,0.6526204979330877,0.8635059023300518,0.996478785449413,0.998622221271658,0.8601,0.2871120122385683,0.6427174729815103,0.0,0.0,48000,08,480000
2028_vit_b_32,2028,128,0.04,10,SGD,vit_b_32,2542.229243156966,322226.9248963327,0.6449,0.8632,0.6747232154431443,0.8623929606397236,0.6409608308961284,0.8612572944090373,0.9964131284493511,0.9986181807149288,0.8599,0.2779002656435531,0.6402491583744788,0.0,0.0,48000,08,480000
2029_vit_b_32,2029,128,0.04,10,SGD,vit_b_32,2536.537906149053,322410.27760109206,0.6468,0.8662,0.6737867489325463,0.866109235842019,0.648244226477088,0.8662599253452179,0.9964323206482528,0.9986484838695816,0.8628,0.2815003507844821,0.6490104951429742,0.0,0.0,48000,08,480000
2031_vit_b_32,2031,128,0.025,10,SGD,vit_b_32,2541.9703083529603,322144.5854101151,0.6318,0.8657,0.6594722613531303,0.8640089851867029,0.630278047962132,0.8639544742481219,0.9962808052429571,0.9986434333083356,0.8574,0.2616315408711211,0.6453376230542733,0.0,0.0,48000,08,480000
2032_vit_b_32,2032,128,0.025,10,SGD,vit_b_32,2543.196064963005,323045.66808451473,0.6495,0.862,0.6682778512871036,0.8614451192432103,0.6511611934190542,0.8622784717138053,0.9964595928814188,0.9986060593941108,0.8542,0.2816335735828019,0.639405872769441,0.0,0.0,48000,08,480000
2033_vit_b_32,2033,128,0.025,10,SGD,vit_b_32,2551.347170769004,320518.1745225198,0.634,0.8597,0.6554948541967462,0.8587386056757551,0.6346563860953043,0.8594758683631945,0.9963030269116436,0.9985828269827968,0.8582,0.2627777857268181,0.6336153571107443,0.0,0.0,48000,08,480000
